feature,coefficient,abs_coef
IRRADIATION,360.6801545955198,360.6801545955198
HOUR,16.988438461356598,16.988438461356598
DAY_PERIOD_ENC,-16.214900656640477,16.214900656640477
MODULE_TEMPERATURE,13.738650026014795,13.738650026014795
SOURCE_KEY_GEN_adLQvlD726eNBSB,13.26435389244924,13.26435389244924
SOURCE_KEY_GEN_1IF53ai7Xc0U56Y,11.751550832129677,11.751550832129677
SOURCE_KEY_GEN_McdE0feGgRqW7Ca,11.61454064658311,11.61454064658311
SOURCE_KEY_GEN_VHMLBKoKgIrUVDU,11.469909701111167,11.469909701111167
SOURCE_KEY_GEN_ZnxXDlPa8U1GXgE,11.022081020905276,11.022081020905276
SOURCE_KEY_GEN_3PZuoBAID5Wc2HD,10.940105487427868,10.940105487427868
SOURCE_KEY_GEN_iCRJl6heRkivqQ3,10.706834895395062,10.706834895395062
SOURCE_KEY_GEN_uHbuxQJl8lW7ozc,10.598919262969137,10.598919262969137
SOURCE_KEY_GEN_zVJPv84UY57bAof,10.132736678185223,10.132736678185223
SOURCE_KEY_GEN_pkci93gMrogZuBj,9.866284339634564,9.866284339634564
SOURCE_KEY_GEN_wCURE6d3bPkepu2,9.768837866277469,9.768837866277469
SOURCE_KEY_GEN_rGa61gmuvPhdLxV,9.47973691952876,9.47973691952876
SOURCE_KEY_GEN_YxYtjZvoooNbGkE,9.4591579012787,9.4591579012787
SOURCE_KEY_GEN_WRmjgnKYAwPKWDb,9.428483453064116,9.428483453064116
SOURCE_KEY_GEN_zBIq5rxdHJRwDNY,8.852178308050604,8.852178308050604
SOURCE_KEY_GEN_sjndEbLyjtCKgGv,8.846594473317053,8.846594473317053
SOURCE_KEY_GEN_z9Y9gH1T5YWrNuG,8.696797678545892,8.696797678545892
SOURCE_KEY_GEN_ZoEaEvLYb1n2sOq,8.596020751429528,8.596020751429528
SOURCE_KEY_GEN_7JYdWkrLSPkdwr4,8.557899349508805,8.557899349508805
SOURCE_KEY_GEN_ih0vzX44oOqAx2f,7.445303162796153,7.445303162796153
AMBIENT_TEMPERATURE,-4.042976575811141,4.042976575811141
SOURCE_KEY_GEN_bvBOhCH3iADSZry,-1.4664750035774266,1.4664750035774266
