feature,importance
IRRADIATION,0.5269304625414409
MODULE_TEMPERATURE,0.19278593353433293
HOUR,0.15589303944497404
DAY_PERIOD_ENC,0.08796942146944377
AMBIENT_TEMPERATURE,0.033768075658430936
SOURCE_KEY_GEN_bvBOhCH3iADSZry,0.0005522533345471132
SOURCE_KEY_GEN_adLQvlD726eNBSB,0.00027208265195241023
SOURCE_KEY_GEN_1IF53ai7Xc0U56Y,0.00017342995407712528
SOURCE_KEY_GEN_3PZuoBAID5Wc2HD,0.00016852067795916075
SOURCE_KEY_GEN_VHMLBKoKgIrUVDU,0.0001615517244559427
SOURCE_KEY_GEN_7JYdWkrLSPkdwr4,0.00015726555282048193
SOURCE_KEY_GEN_WRmjgnKYAwPKWDb,0.00013016699829327568
SOURCE_KEY_GEN_z9Y9gH1T5YWrNuG,0.00011160946565811535
SOURCE_KEY_GEN_ih0vzX44oOqAx2f,0.00010958127473089313
SOURCE_KEY_GEN_zBIq5rxdHJRwDNY,0.00010796676381875875
SOURCE_KEY_GEN_ZnxXDlPa8U1GXgE,7.91526985091302e-05
SOURCE_KEY_GEN_zVJPv84UY57bAof,7.321840262454302e-05
SOURCE_KEY_GEN_YxYtjZvoooNbGkE,7.170562502813062e-05
SOURCE_KEY_GEN_wCURE6d3bPkepu2,7.027895548269525e-05
SOURCE_KEY_GEN_sjndEbLyjtCKgGv,6.887603371232794e-05
SOURCE_KEY_GEN_pkci93gMrogZuBj,6.621597269017102e-05
SOURCE_KEY_GEN_McdE0feGgRqW7Ca,6.207096537316743e-05
SOURCE_KEY_GEN_uHbuxQJl8lW7ozc,5.982991732017563e-05
SOURCE_KEY_GEN_iCRJl6heRkivqQ3,5.6999949300443274e-05
SOURCE_KEY_GEN_ZoEaEvLYb1n2sOq,5.338280149624465e-05
SOURCE_KEY_GEN_rGa61gmuvPhdLxV,4.6907631526994114e-05
